Unnamed: 0,Image ID,Method,PSNR,SSIM,NIQE,BRISQUE,RGB Balance Error,Runtime Seconds
0,1,Low-Light Input,7.219328,0.230884,6.436827,16.288757,0.011313,0.000000
1,1,Original AGCC Paper Method,19.349784,0.756035,7.924577,17.672546,0.011179,0.068966
2,1,Improved Hybrid AGCC Phase 6,18.901449,0.770236,6.319524,33.998230,0.012056,0.230716
3,2,Low-Light Input,5.612231,0.187326,8.652036,19.488464,0.003111,0.000000
4,2,Original AGCC Paper Method,12.944627,0.697253,8.539846,9.487488,0.008652,0.047638
...,...,...,...,...,...,...,...,...
1495,499,Original AGCC Paper Method,18.738651,0.469925,8.521074,33.341980,0.032680,0.031089
1496,499,Improved Hybrid AGCC Phase 6,14.794733,0.534686,6.814681,31.853699,0.046645,0.196588
1497,500,Low-Light Input,9.416645,0.136260,6.924529,22.463074,0.003443,0.000000
1498,500,Original AGCC Paper Method,19.858130,0.527404,7.518441,36.275574,0.023822,0.052634
1499,500,Improved Hybrid AGCC Phase 6,15.181730,0.534673,7.297458,44.414734,0.036185,0.211862
